rowname,mean,sd,min,max,ICC,pHipp,PREC,PCC,MPFC,PHC,RSC,aAG,pAG,SceCorr,ColCorr,EmoCorr
pHipp,0.04028703615688809,0.16051399653773604,-0.619937352796551,0.597741816490889,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREC,0.09545714683636133,0.2268877449578913,-0.732224168828689,1.12874085147399,0.085,0.289149007961025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCC,0.11585469728837734,0.2246746043017532,-0.690717860162258,0.969604772776365,0.193,0.31704574663289137,0.41017245364841276,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPFC,0.07286719169875039,0.29518872051427436,-1.07609281742014,1.3613602647185301,0.087,0.35121636878028534,0.3024041052428323,0.43040312553113874,NA,NA,NA,NA,NA,NA,NA,NA
PHC,-0.07338455842454181,0.19002248446256947,-1.20054637629539,0.524262700527906,0.124,0.1540113380658081,0.2715099526668265,0.18306183142274637,0.08204933079116251,NA,NA,NA,NA,NA,NA,NA
RSC,0.008943913204090936,0.17284471675330323,-0.751553894132376,0.669279336817563,0.156,0.2003748967594823,0.33758228531215073,0.29714969871825897,0.15832096721434463,0.3680600200966479,NA,NA,NA,NA,NA,NA
aAG,0.1257797020792877,0.3527790340128704,-1.03902668264695,1.48726461540908,0.254,0.3171177466610648,0.32313404828570846,0.4212565141623553,0.3449802722951301,0.12797758321283229,0.310042813161505,NA,NA,NA,NA,NA
pAG,-0.06851336594843026,0.3343655377928162,-1.50437274575233,1.14779641816393,0.077,0.1189805772530792,0.26014902829133646,0.16781973444167436,0.03184477834145349,0.3844527994525913,0.356086995647328,0.33292541578754303,NA,NA,NA,NA
SceCorr,0.6754115226337448,0.4682811108253223,0,1,0.208,0.0285851082143464,0.10098918551994941,0.03531596589337524,-0.017490734975122782,0.10946028697272488,0.15949679907924272,0.04823930392318377,0.1315440744455057,NA,NA,NA
ColCorr,0.7235082304526749,0.4473203950426389,0,1,0.145,-0.0035471370621310574,0.05298005539685711,0.04523052600222241,-0.028407578514738147,0.032338138417460784,0.04063143013070126,0.02490827035938576,0.03881074639236821,0.25063038596311454,NA,NA
EmoCorr,0.7577160493827161,0.42852032360598735,0,1,0.119,0.04302634396028753,0.09846215044053273,0.05962111780975803,0.0235738201569751,0.03783321812285428,0.06403436772651526,0.03436201212930054,0.039651754867088114,0.22851086448986138,0.16983980328869042,NA
