paramHeader,param,est.stand,se.stand,pval.stand
VPMN.BY,RSC,0.627,0.006,< 0.001
VPMN.BY,PHC,0.567,0.008,< 0.001
VPMN.BY,PAG,0.608,0.007,< 0.001
DPMN.BY,MPFC,0.516,0.006,< 0.001
DPMN.BY,PHIPP,0.437,0.008,< 0.001
DPMN.BY,PREC,0.647,0.007,< 0.001
DPMN.BY,PCC,0.685,0.004,< 0.001
DPMN.BY,AAG,0.711,0.005,< 0.001
MEMQ.BY,SCECORR,0.707,0.057,< 0.001
MEMQ.BY,COLCORR,0.465,0.044,< 0.001
MEMQ.BY,EMOCORR,0.46,0.03,< 0.001
DPMN.WITH,VPMN,0.634,0.008,< 0.001
MEMQ.WITH,VPMN,0.2,0.025,< 0.001
MEMQ.WITH,DPMN,0.102,0.026,< 0.001
Variances,VPMN,1,0,999.000
Variances,DPMN,1,0,999.000
Variances,MEMQ,1,0,999.000
Residual.Variances,PHIPP,0.809,0.007,< 0.001
Residual.Variances,PREC,0.581,0.009,< 0.001
Residual.Variances,PCC,0.531,0.006,< 0.001
Residual.Variances,MPFC,0.734,0.006,< 0.001
Residual.Variances,PHC,0.679,0.009,< 0.001
Residual.Variances,RSC,0.607,0.008,< 0.001
Residual.Variances,AAG,0.494,0.007,< 0.001
Residual.Variances,PAG,0.63,0.008,< 0.001
